t	s	i
0	0.9	0.1
0.01	0.899795	0.099795
0.02	0.899591	0.0995905
0.03	0.899387	0.0993865
0.04	0.899183	0.0991831
0.05	0.89898	0.0989801
0.06	0.898778	0.0987777
0.07	0.898576	0.0985757
0.08	0.898374	0.0983743
0.09	0.898173	0.0981733
0.1	0.897973	0.0979729
0.11	0.897773	0.0977729
0.12	0.897573	0.0975735
0.13	0.897374	0.0973745
0.14	0.897176	0.097176
0.15	0.896978	0.096978
0.16	0.896781	0.0967806
0.17	0.896584	0.0965836
0.18	0.896387	0.0963871
0.19	0.896191	0.096191
0.2	0.895995	0.0959955
0.21	0.8958	0.0958004
0.22	0.895606	0.0956058
0.23	0.895412	0.0954117
0.24	0.895218	0.0952181
0.25	0.895025	0.095025
0.26	0.894832	0.0948323
0.27	0.89464	0.0946401
0.28	0.894448	0.0944484
0.29	0.894257	0.0942571
0.3	0.894066	0.0940663
0.31	0.893876	0.093876
0.32	0.893686	0.0936861
0.33	0.893497	0.0934967
0.34	0.893308	0.0933078
0.35	0.893119	0.0931193
0.36	0.892931	0.0929313
0.37	0.892744	0.0927438
0.38	0.892557	0.0925567
0.39	0.89237	0.09237
0.4	0.892184	0.0921838
0.41	0.891998	0.0919981
0.42	0.891813	0.0918128
0.43	0.891628	0.091628
0.44	0.891444	0.0914436
0.45	0.89126	0.0912597
0.46	0.891076	0.0910762
0.47	0.890893	0.0908931
0.48	0.890711	0.0907105
0.49	0.890528	0.0905284
0.5	0.890347	0.0903466
0.51	0.890165	0.0901653
0.52	0.889984	0.0899845
0.53	0.889804	0.0898041
0.54	0.889624	0.0896241
0.55	0.889445	0.0894446
0.56	0.889265	0.0892654
0.57	0.889087	0.0890868
0.58	0.888909	0.0889085
0.59	0.888731	0.0887307
0.6	0.888553	0.0885533
0.61	0.888376	0.0883763
0.62	0.8882	0.0881998
0.63	0.888024	0.0880236
0.64	0.887848	0.0878479
0.65	0.887673	0.0876727
0.66	0.887498	0.0874978
0.67	0.887323	0.0873233
0.68	0.887149	0.0871493
0.69	0.886976	0.0869757
0.7	0.886802	0.0868025
0.71	0.88663	0.0866297
0.72	0.886457	0.0864573
0.73	0.886285	0.0862854
0.74	0.886114	0.0861138
0.75	0.885943	0.0859426
0.76	0.885772	0.0857719
0.77	0.885602	0.0856016
0.78	0.885432	0.0854316
0.79	0.885262	0.0852621
0.8	0.885093	0.085093
0.81	0.884924	0.0849242
0.82	0.884756	0.0847559
0.83	0.884588	0.0845879
0.84	0.88442	0.0844204
0.85	0.884253	0.0842533
0.86	0.884087	0.0840865
0.87	0.88392	0.0839202
0.88	0.883754	0.0837542
0.89	0.883589	0.0835886
0.9	0.883423	0.0834234
0.91	0.883259	0.0832586
0.92	0.883094	0.0830942
0.93	0.88293	0.0829302
0.94	0.882767	0.0827666
0.95	0.882603	0.0826033
0.96	0.88244	0.0824405
0.97	0.882278	0.082278
0.98	0.882116	0.0821159
0.99	0.881954	0.0819541
1	0.881793	0.0817928
1.01	0.881632	0.0816318
1.02	0.881471	0.0814712
1.03	0.881311	0.081311
1.04	0.881151	0.0811511
1.05	0.880992	0.0809917
1.06	0.880833	0.0808326
1.07	0.880674	0.0806738
1.08	0.880515	0.0805155
1.09	0.880357	0.0803575
1.1	0.8802	0.0801998
1.11	0.880043	0.0800426
1.12	0.879886	0.0798857
1.13	0.879729	0.0797291
1.14	0.879573	0.079573
1.15	0.879417	0.0794171
1.16	0.879262	0.0792617
1.17	0.879107	0.0791066
1.18	0.878952	0.0789519
1.19	0.878798	0.0787975
1.2	0.878643	0.0786435
1.21	0.87849	0.0784898
1.22	0.878337	0.0783365
1.23	0.878184	0.0781836
1.24	0.878031	0.078031
1.25	0.877879	0.0778787
1.26	0.877727	0.0777268
1.27	0.877575	0.0775753
1.28	0.877424	0.0774241
1.29	0.877273	0.0772732
1.3	0.877123	0.0771227
1.31	0.876973	0.0769725
1.32	0.876823	0.0768227
1.33	0.876673	0.0766733
1.34	0.876524	0.0765241
1.35	0.876375	0.0763753
1.36	0.876227	0.0762269
1.37	0.876079	0.0760788
1.38	0.875931	0.075931
1.39	0.875784	0.0757836
1.4	0.875636	0.0756365
1.41	0.87549	0.0754897
1.42	0.875343	0.0753433
1.43	0.875197	0.0751972
1.44	0.875051	0.0750514
1.45	0.874906	0.074906
1.46	0.874761	0.0747609
1.47	0.874616	0.0746161
1.48	0.874472	0.0744717
1.49	0.874328	0.0743276
1.5	0.874184	0.0741838
1.51	0.87404	0.0740403
1.52	0.873897	0.0738972
1.53	0.873754	0.0737544
1.54	0.873612	0.0736119
1.55	0.87347	0.0734697
1.56	0.873328	0.0733279
1.57	0.873186	0.0731864
1.58	0.873045	0.0730452
1.59	0.872904	0.0729043
1.6	0.872764	0.0727637
1.61	0.872623	0.0726235
1.62	0.872484	0.0724835
1.63	0.872344	0.0723439
1.64	0.872205	0.0722046
1.65	0.872066	0.0720656
1.66	0.871927	0.071927
1.67	0.871789	0.0717886
1.68	0.871651	0.0716506
1.69	0.871513	0.0715128
1.7	0.871375	0.0713754
1.71	0.871238	0.0712382
1.72	0.871101	0.0711014
1.73	0.870965	0.0709649
1.74	0.870829	0.0708287
1.75	0.870693	0.0706928
1.76	0.870557	0.0705572
1.77	0.870422	0.0704219
1.78	0.870287	0.0702869
1.79	0.870152	0.0701522
1.8	0.870018	0.0700178
1.81	0.869884	0.0698838
1.82	0.86975	0.06975
1.83	0.869616	0.0696165
1.84	0.869483	0.0694833
1.85	0.86935	0.0693504
1.86	0.869218	0.0692178
1.87	0.869085	0.0690855
1.88	0.868953	0.0689535
1.89	0.868822	0.0688217
1.9	0.86869	0.0686903
1.91	0.868559	0.0685592
1.92	0.868428	0.0684283
1.93	0.868298	0.0682978
1.94	0.868167	0.0681675
1.95	0.868038	0.0680375
1.96	0.867908	0.0679078
1.97	0.867778	0.0677784
1.98	0.867649	0.0676493
1.99	0.86752	0.0675205
2	0.867392	0.0673919
